timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2020-01-07 10:17:43.26	1061923555	start_recording
2020-01-07 10:17:43.373	1061923917	True	7	987.4771	701.2029	1039.3413	692.5298	26.5447	980.5349	693.6924	1028.1683	714.6003	25.5938	0.3614	0.5723	994.4191	708.7133	1070.8966	667.9153	27.4956	0.5847	0.5815
2020-01-07 10:17:43.389	1061923933	True	7	1134.073	844.7713	1038.9307	693.4526	28.8612	1049.9362	682.5131	1028.7491	712.8989	24.8467	0.3615	0.5721	1218.2097	1007.0295	1107.8794	753.5292	32.8757	0.5863	0.5848
2020-01-07 10:17:43.406	1061923950	True	7	1050.2083	682.5966	1040.5507	695.111	26.6076	1052.0397	693.8972	1029.5316	711.8235	25.7543	0.3612	0.5723	1048.3768	671.2958	1095.8842	737.4122	27.4609	0.5843	0.5804
2020-01-07 10:17:43.423	1061923967	True	7	1044.7365	695.4031	1042.2788	696.5246	25.78135	1014.3776	719.2339	1028.2977	712.1537	24.9634	0.3605	0.5725	1075.0953	671.5722	1092.3099	726.5229	26.5993	0.5842	0.5799
2020-01-07 10:17:43.439	1061923983	True	7	1003.4315	686.7227	1044.8553	697.9607	25.95615	973.7081	683.5541	1024.8749	710.5051	25.5278	0.3598	0.572	1033.1548	689.8911	1083.5166	721.2826	26.3845	0.5835	0.5798
2020-01-07 10:17:43.456	1061924000	True	7	1033.5366	684.3738	1045.8572	698.9299	25.76925	1025.5719	693.8709	1024.3973	709.4326	25.3241	0.36	0.572	1041.5013	674.8768	1077.8621	715.2922	26.2144	0.5833	0.5794
2020-01-07 10:17:43.473	1061924017	True	7	1056.4426	681.5259	1046.6752	699.6057	26.2758	1036.0868	730.4025	1024.5819	710.4023	25.4214	0.3598	0.5722	1076.7983	632.6494	1077.5048	705.5411	27.1302	0.5834	0.5784
2020-01-07 10:17:43.489	1061924033	True	7	1011.1204	700.7053	1047.0754	700.2293	26.154	1020.6809	707.8124	1023.9825	710.1314	25.6975	0.3597	0.5719	1001.5599	693.5981	1069.1475	704.0508	26.6105	0.5827	0.5791
2020-01-07 10:17:43.506	1061924050	True	7	1008.3553	683.9308	1047.0986	700.7324	26.27865	1036.8093	698.106	1024.3472	709.3394	25.6875	0.3598	0.5718	979.9013	669.7557	1059.9578	700.4348	26.8698	0.5825	0.5786
2020-01-07 10:17:43.522	1061924066	True	7	1036.4187	677.3179	1046.1659	701.3467	26.11355	1026.9902	682.0962	1024.2249	707.6762	25.7233	0.3598	0.5715	1045.8473	672.5396	1045.8473	672.5396	26.5038	0.5831	0.5786
2020-01-07 10:17:43.539	1061924083	True	7	1015.2783	691.651	1045.5664	700.0406	25.6679	996.2217	723.2111	1022.4504	708.3148	24.5476	0.3597	0.5718	1034.335	660.0908	1034.335	660.0908	26.7882	0.5832	0.5784
2020-01-07 10:17:43.556	1061924100	True	7	1028.1967	709.1977	1044.5929	699.7654	25.6246	1036.3264	731.5812	1022.9495	709.4411	24.6266	0.3603	0.572	1020.067	686.8141	1027.1918	673.4695	26.6226	0.5833	0.5788
2020-01-07 10:17:43.572	1061924116	True	7	1020.1656	689.1219	1043.5496	699.2745	25.2701	1018.1326	703.0004	1022.4865	709.0012	23.9184	0.3604	0.5717	1022.1986	675.2435	1025.5083	674.0861	26.6218	0.5837	0.5788
2020-01-07 10:17:43.589	1061924133	True	7	1051.7815	702.0391	1042.7987	698.9023	25.90705	1028.9431	746.7914	1022.6674	711.0037	24.8998	0.3608	0.5722	1074.6199	657.2867	1037.8805	669.8679	26.9143	0.5843	0.5787
2020-01-07 10:17:43.606	1061924150	True	7	1031.025	698.9167	1042.1233	698.1028	25.4658	1032.6882	737.8246	1023.0926	712.5235	24.439	0.361	0.5719	1029.3618	660.0089	1036.2137	667.8553	26.4926	0.5842	0.5788
2020-01-07 10:17:43.622	1061924166	True	7	1026.5443	719.1549	1041.4153	696.3952	26.0994	1047.3972	771.3533	1024.3628	715.903	25.4841	0.3615	0.5724	1005.6914	666.9566	1031.0454	667.6762	26.7147	0.5843	0.579
2020-01-07 10:17:43.639	1061924183	True	7	1004.8644	679.7051	1040.4637	695.5748	25.35745	992.8229	705.5365	1022.6276	715.6185	24.1855	0.3611	0.5715	1016.9058	653.8737	1028.9343	665.6152	26.5294	0.5845	0.5789
2020-01-07 10:17:43.656	1061924200	True	7	1111.3583	671.0659	1039.3219	696.6395	26.83145	1032.7716	746.5386	1023.1262	717.5829	24.714	0.3616	0.5719	1189.9449	595.5933	1049.9121	656.4238	28.9489	0.5862	0.5783
2020-01-07 10:17:43.672	1061924216	True	7	1023.8972	691.9087	1038.8073	696.2252	25.9012	1024.7371	685.8902	1023.1962	716.1583	24.1835	0.3616	0.5713	1023.0574	697.9272	1047.0363	661.1201	27.6189	0.5847	0.5798
2020-01-07 10:17:43.689	1061924233	True	7	1015.1387	690.3192	1038.5302	695.1495	26.3455	994.6351	724.7648	1021.6064	716.8632	24.8337	0.3614	0.5719	1035.6422	655.8736	1046.0095	660.4803	27.8573	0.5849	0.5796
2020-01-07 10:17:43.705	1061924249	True	7	1009.5009	710.5367	1038.1478	694.2349	25.75675	995.5252	739.6273	1020.0826	718.3635	24.8393	0.3613	0.5723	1023.4764	681.4462	1043.9293	662.4777	26.6742	0.5846	0.58
2020-01-07 10:17:43.722	1061924266	True	7	1033.3124	678.8282	1036.9401	695.4659	25.81635	1029.9668	739.7393	1020.4851	719.8376	24.4714	0.3615	0.5724	1036.658	617.9171	1036.658	617.9171	27.1613	0.5846	0.5793
2020-01-07 10:17:43.739	1061924283	True	7	1024.6027	668.6357	1035.0381	694.1575	25.6547	1050.8282	691.3239	1022.0623	718.59	24.8134	0.3616	0.572	998.377	645.9476	998.377	645.9476	26.496	0.5842	0.5796
2020-01-07 10:17:43.756	1061924300	True	7	1022.0205	686.8793	1033.4746	693.8123	26.12425	1046.4901	717.3905	1023.4081	718.7498	25.2781	0.3615	0.5723	997.551	656.368	997.9635	651.1645	26.9704	0.5842	0.5796
2020-01-07 10:17:43.772	1061924316	True	7	1029.9175	719.4247	1032.3738	693.7681	25.9108	1002.7534	761.3713	1022.3337	721.3124	24.7808	0.3612	0.5726	1057.0815	677.4781	1017.7526	659.9819	27.0408	0.5847	0.5795
2020-01-07 10:17:43.789	1061924333	True	7	993.0797	717.0182	1031.1067	694.1791	26.1058	1004.0197	711.5616	1021.3306	721.0772	24.5591	0.3612	0.572	982.1396	722.4749	1008.8447	675.7848	27.6525	0.5841	0.5797
2020-01-07 10:17:43.806	1061924350	True	7	1021.7478	698.8604	1029.8469	694.4588	26.02945	1033.9292	698.3821	1021.9927	720.0707	24.8761	0.3615	0.5716	1009.5664	699.3386	1008.9962	680.6951	27.1828	0.5843	0.5791
2020-01-07 10:17:43.822	1061924366	True	7	1054.1696	693.304	1028.996	695.1871	25.9186	1022.7587	712.1483	1022.0326	719.7937	24.395	0.3615	0.5715	1085.5804	674.4596	1022.0637	679.777	27.4422	0.5851	0.5783
2020-01-07 10:17:43.839	1061924383	True	7	1023.2786	729.9697	1028.147	695.4053	25.9909	1042.9647	753.622	1023.1968	721.7811	24.3178	0.3618	0.5718	1003.5925	706.3173	1019.4816	683.8062	27.664	0.5846	0.5785
2020-01-07 10:17:43.855	1061924399	True	7	1056.3071	688.9076	1027.5745	695.9714	26.46035	1050.2152	730.3638	1024.7614	722.4531	24.8707	0.3621	0.5712	1062.3989	647.4514	1025.1758	679.2057	28.05	0.5853	0.5775
2020-01-07 10:17:43.872	1061924416	True	7	1011.8654	726.426	1026.8104	695.0604	26.2432	1040.5525	777.3919	1025.7797	725.6929	25.5781	0.3624	0.5715	983.1782	675.4601	1020.4034	678.8206	26.9083	0.585	0.5777
2020-01-07 10:17:43.889	1061924433	True	7	1016.7974	698.9804	1026.238	695.5086	25.46105	1016.8397	693.3793	1025.467	724.2376	24.6625	0.3626	0.5703	1016.7551	704.5815	1020.0709	681.6239	26.2596	0.5857	0.5779
2020-01-07 10:17:43.905	1061924449	True	7	1040.3567	680.4425	1025.788	695.6801	25.44305	1036.7365	667.7852	1026.2397	721.3232	24.5708	0.3633	0.5695	1043.9771	693.0998	1022.4822	682.8489	26.3153	0.5865	0.5775
2020-01-07 10:17:43.922	1061924466	True	7	1026.2948	715.4861	1025.4443	696.2875	25.40935	1024.2672	722.8396	1026.3015	721.4349	24.7171	0.3636	0.5698	1028.3224	708.1327	1023.1114	685.287	26.1016	0.5868	0.5775
2020-01-07 10:17:43.939	1061924483	True	7	1058.7555	694.3909	1025.2765	696.6188	25.14125	1061.537	740.8486	1028.4102	722.5254	24.7663	0.3643	0.5697	1055.974	647.9332	1026.0569	682.1944	25.5162	0.5875	0.5765
2020-01-07 10:17:43.955	1061924499	True	7	1016.3838	689.565	1025.1217	696.976	25.17695	1028.3555	706.6642	1028.6548	721.705	24.3847	0.3644	0.5689	1004.4121	672.4658	1024.4379	681.4451	25.9692	0.5874	0.5766
2020-01-07 10:17:43.972	1061924516	True	7	1031.5837	675.2963	1024.7972	696.2782	25.11775	1061.6843	652.8882	1030.7152	717.8916	24.3895	0.3648	0.5679	1001.483	697.7043	1022.7365	682.7379	25.846	0.5875	0.5765
2020-01-07 10:17:43.989	1061924533	True	7	970.0074	647.5554	1024.3623	695.5032	25.5673	954.0093	630.2901	1026.7742	712.8257	24.278	0.3637	0.5671	986.0057	664.8207	1020.0144	681.4489	26.8566	0.5871	0.5757
2020-01-07 10:17:44.005	1061924549	True	7	985.2145	656.2319	1023.9645	695.1755	25.77505	981.0175	670.6624	1024.3014	710.0198	24.9924	0.364	0.5672	989.4114	641.8016	1017.7433	678.5933	26.5577	0.5873	0.5749
2020-01-07 10:17:44.022	1061924566	True	7	960.9171	685.2517	1023.3712	694.3537	25.7374	928.3679	660.7222	1018.8984	706.7118	24.9096	0.3637	0.5667	993.4663	709.7813	1015.9124	680.6721	26.5652	0.5875	0.5752
2020-01-07 10:17:44.039	1061924583	True	7	964.3813	684.7811	1022.6754	694.1147	25.4244	975.6656	686.4684	1016.1356	704.895	24.8535	0.3643	0.5665	953.097	683.0937	1011.4683	680.8197	25.9953	0.5874	0.5742
2020-01-07 10:17:44.055	1061924599	True	7	965.6334	676.728	1021.8331	693.8691	25.53685	976.0084	699.7626	1013.4232	703.8876	24.5091	0.3644	0.566	955.2584	653.6933	1007.4215	679.0212	26.5646	0.5876	0.5732
2020-01-07 10:17:44.072	1061924616	True	7	978.4922	684.376	1020.9277	693.7346	25.8835	1000.4482	715.9091	1012.112	703.8574	25.3596	0.3648	0.5657	956.5362	652.8429	1003.6775	677.2551	26.4074	0.5877	0.5724
2020-01-07 10:17:44.089	1061924633	True	7	964.1176	677.1814	1019.7872	693.2844	25.4926	975.0411	685.0309	1009.4578	702.2023	24.8508	0.3647	0.5649	953.1941	669.3318	999.9199	676.6099	26.1344	0.5879	0.5717
2020-01-07 10:17:44.105	1061924649	True	7	945.6223	672.5529	1018.2877	692.2643	25.3729	931.9722	666.4423	1004.4825	699.597	24.7904	0.3645	0.5644	959.2725	678.6633	996.7296	676.5772	25.9554	0.5882	0.5711
2020-01-07 10:17:44.122	1061924666	True	7	949.9782	650.3547	1016.8234	691.7169	24.70595	948.609	679.9778	1000.5181	697.8345	23.6884	0.3647	0.5646	951.3474	620.7316	993.2236	673.0281	25.7235	0.5883	0.5698
2020-01-07 10:17:44.138	1061924682	True	7	944.3163	668.3439	1015.0316	690.3948	25.35435	934.174	699.0045	995.8593	697.222	24.488	0.3647	0.5653	954.4586	637.6833	990.0794	670.6178	26.2207	0.5885	0.5698
2020-01-07 10:17:44.155	1061924699	True	7	951.842	668.3628	1013.2183	689.6282	24.59795	970.1643	657.3981	993.3233	694.4003	23.7574	0.3651	0.5653	933.5198	679.3275	985.8558	670.7689	25.4385	0.5884	0.5702
2020-01-07 10:17:44.172	1061924716	True	7	967.0007	646.0399	1011.1412	688.3578	24.95705	976.9985	616.0281	991.3055	689.3853	23.8357	0.3653	0.5655	957.0028	676.0516	983.2019	670.7578	26.0784	0.5887	0.5701
2020-01-07 10:17:44.188	1061924732	True	7	941.1492	652.79	1008.9236	687.0026	24.84395	942.8598	666.3102	987.5408	687.2667	24.0708	0.3652	0.5662	939.4385	639.2697	979.6838	668.6389	25.6171	0.5887	0.5694
2020-01-07 10:17:44.205	1061924749	True	7	977.7158	669.5757	1006.8932	686.0934	24.4003	984.291	679.9005	986.2255	686.0227	23.5007	0.3656	0.5665	971.1406	659.2509	978.1721	667.7451	25.2999	0.5892	0.5694
2020-01-07 10:17:44.222	1061924766	True	7	963.9058	637.8628	1005.0712	685.6686	24.72695	969.8588	665.801	984.2689	684.1224	23.589	0.3658	0.5666	957.9528	609.9246	976.0488	664.0757	25.8649	0.5894	0.5684
2020-01-07 10:17:44.238	1061924782	True	7	955.5262	657.084	1002.9147	684.4958	24.01615	954.2687	664.2516	981.5975	682.2574	23.1327	0.366	0.5666	956.7838	649.9163	974.0107	662.7811	24.8996	0.5896	0.5688
2020-01-07 10:17:44.255	1061924799	True	7	983.1638	648.4427	1000.9137	683.506	24.6349	1017.6943	666.097	982.5984	680.6135	23.6273	0.3669	0.5669	948.6334	630.7885	971.6599	660.4727	25.6425	0.5899	0.5687
2020-01-07 10:17:44.272	1061924816	True	7	984.0381	664.15	998.9153	682.393	25.1207	980.1119	687.5772	981.6675	680.2773	23.9913	0.3669	0.5673	987.9643	640.7228	971.684	658.8099	26.2501	0.5906	0.5692
